"","order_ic21","GMDNR","GMDHISTID","GMDNAME","KTN_abr","KTNR","BZHISTID","BZNR","distance_to_start","GMDNAME_FR","GMDNAME_DE"
"1",1,2701,11693,"Basel","BS",12,10093,1200,6.86361007835476e-10,"Bâle","Basel"
"2",2,2766,13829,"Birsfelden","BL",13,10092,1301,32684.4701353131,"Birsfelden","Birsfelden"
"3",3,2770,13833,"Muttenz","BL",13,10092,1301,46680.5563130348,"Muttenz","Muttenz"
"4",4,2831,13776,"Pratteln","BL",13,10237,1303,233964.533003702,"Pratteln","Pratteln"
"5",5,2824,13769,"Frenkendorf","BL",13,10237,1303,541552.979595031,"Frenkendorf","Frenkendorf"
"6",6,2829,13774,"Liestal","BL",13,10237,1303,695193.102705026,"Liestal","Liestal"
"7",7,2828,13773,"Lausen","BL",13,10237,1303,1192837.36584935,"Lausen","Lausen"
"8",8,2849,13788,"Itingen","BL",13,10238,1304,1509041.94496026,"Itingen","Itingen"
"9",9,2861,13800,"Sissach","BL",13,10238,1304,1800086.66620385,"Sissach","Sissach"
"10",10,2864,13803,"Thürnen","BL",13,10238,1304,2224074.84805572,"Thürnen","Thürnen"
"11",11,2842,13781,"Böckten","BL",13,10238,1304,2298917.75959664,"Böckten","Böckten"
"12",12,2846,13785,"Gelterkinden","BL",13,10238,1304,2488963.17201836,"Gelterkinden","Gelterkinden"
"13",13,2862,13801,"Tecknau","BL",13,10238,1304,3180524.48060278,"Tecknau","Tecknau"
"14",14,2860,13799,"Rünenberg","BL",13,10238,1304,3706355.61985528,"Rünenberg","Rünenberg"
"15",15,2851,13790,"Kilchberg (BL)","BL",13,10238,1304,3856164.82131549,"Kilchberg","Kilchberg"
"16",16,2868,13807,"Zeglingen","BL",13,10238,1304,4124005.13552397,"Zeglingen","Zeglingen"
"17",17,2502,10349,"Wisen (SO)","SO",11,10084,1105,4725743.78707357,"Wisen","Wisen"
"18",18,2493,12808,"Lostorf","SO",11,10084,1105,4971507.63784732,"Lostorf","Lostorf"
"19",19,2501,10348,"Winznau","SO",11,10084,1105,5537274.25509494,"Winznau","Winznau"
"20",20,2500,10894,"Trimbach","SO",11,10084,1105,5773818.52039053,"Trimbach","Trimbach"
"21",21,2581,12486,"Olten","SO",11,10111,1108,5918302.96126237,"Olten","Olten"
"22",22,4271,11738,"Aarburg","AG",19,10017,1910,6777095.59465917,"Aarburg","Aarburg"
"23",23,4280,12494,"Oftringen","AG",19,10017,1910,7756596.44028344,"Oftringen","Oftringen"
"24",24,4289,14361,"Zofingen","AG",19,10017,1910,9177107.20940638,"Zofingue","Zofingen"
"25",25,4274,11636,"Brittnau","AG",19,10017,1910,10299545.9136242,"Brittnau","Brittnau"
"26",26,1147,15523,"Wikon","LU",3,10302,315,10314369.2534327,"Wikon","Wikon"
"27",27,1140,15596,"Reiden","LU",3,10302,315,11501519.4419262,"Reiden","Reiden"
"28",28,1125,15593,"Dagmersellen","LU",3,10302,315,12911153.2352873,"Dagmersellen","Dagmersellen"
"29",29,1123,16131,"Altishofen","LU",3,10302,315,14182119.9220856,"Altishofen","Altishofen"
"30",30,1137,15571,"Nebikon","LU",3,10302,315,14716339.8188741,"Nebikon","Nebikon"
"31",31,1127,15555,"Egolzwil","LU",3,10302,315,15756981.9086608,"Egolzwil","Egolzwil"
"32",32,1146,15527,"Wauwil","LU",3,10302,315,16533893.3606521,"Wauwil","Wauwil"
"33",33,1091,15573,"Mauensee","LU",3,10301,314,16942790.2889766,"Mauensee","Mauensee"
"34",34,1089,15575,"Knutwil","LU",3,10301,314,18067200.6046264,"Knutwil","Knutwil"
"35",35,1103,15529,"Sursee","LU",3,10301,314,18676393.0445192,"Sursee","Sursee"
"36",36,1095,15569,"Oberkirch","LU",3,10301,314,20334850.741295,"Oberkirch","Oberkirch"
"37",37,1094,15572,"Nottwil","LU",3,10301,314,22123576.7652691,"Nottwil","Nottwil"
"38",38,1093,15570,"Neuenkirch","LU",3,10301,314,25136955.9151201,"Neuenkirch","Neuenkirch"
"39",39,1040,15579,"Rothenburg","LU",3,10300,313,28778342.744275,"Rothenburg","Rothenburg"
"40",40,1024,15563,"Emmen","LU",3,10300,313,31051161.4182777,"Emmen","Emmen"
"41",41,1061,15600,"Luzern","LU",3,10298,311,33697549.3115426,"Lucerne","Luzern"
"42",42,1054,15552,"Ebikon","LU",3,10299,312,34660304.1378693,"Ebikon","Ebikon"
"43",43,1052,15532,"Buchrain","LU",3,10299,312,36276330.0976662,"Buchrain","Buchrain"
"44",44,1053,15535,"Dierikon","LU",3,10299,312,36827612.9551872,"Dierikon","Dierikon"
"45",45,1065,15581,"Root","LU",3,10299,312,37301591.3241706,"Root","Root"
"46",46,1055,15550,"Gisikon","LU",3,10299,312,38312146.7451288,"Gisikon","Gisikon"
"47",47,1057,15558,"Honau","LU",3,10299,312,38639528.5858245,"Honau","Honau"
"48",48,1707,12931,"Risch","ZG",9,10108,900,39467968.3342746,"Risch","Risch"
"49",49,1331,14470,"Küssnacht (SZ)","SZ",5,10272,504,43075798.175148,"Küssnacht","Küssnacht"
"50",50,1064,15567,"Meierskappel","LU",3,10299,312,43190969.5150106,"Meierskappel","Meierskappel"
"51",51,1362,11670,"Arth","SZ",5,10068,506,47495129.1809234,"Arth","Arth"
"52",52,1374,10571,"Steinerberg","SZ",5,10068,506,56732608.4122155,"Steinerberg","Steinerberg"
