polg_name,de,fr,it,rm,en
Appenzell,,,Appenzello,,
Basel,,Bâle,Basilea,Basilea,
Bellinzona,,Bellinzone,,,
Bern,,Berne,Berna,Berna,
Biel/Bienne,Biel (BE),Bienne,,Bienna,
Brig-Glis,,Brigue-Glis,Briga-Glis,,
Burgdorf,,Berthoud,,,
Chur,,Coire,Coira,Cuira,
Courgevaux,Gurwolf,,,,
Delémont,Delsberg,,,,
Düdingen,,Guin,,,
Erlach,,Cerlier,,,
Evilard,Leubringen,,,,
Fribourg,Freiburg,,Friburgo,Friburg,
Gampelen,,Champion,,,
Genève,Genf,,Ginevra,Genevra,Geneva
Giffers,,Chevrilles,,,
Glarus,,Glaris,Glarona,Glaruna,
Grenchen,,Granges (SO),,,
Gruyères,Greyerz,,,Gruyère,
Gurmels,,Cormondes,,,
Ins,,Anet,,,
Jaun,,Bellegarde,,,
Kerzers,,Chiètres (FR),,,
La Neuveville,Neuenstadt,,,,
Laufen,,Laufon,,,
Lausanne,,,Losanna,Losanna,
Lengnau (BE),,Longeau,,,
Leuk,,Loèche-Ville,,,
Leukerbad,,Loèche-les-Bains,,,
Ligerz,,Gléresse,,,
Luzern,,Lucerne,Lucerna,Lucerna,Lucerne
Meyriez,Merlach,,,,
Moutier,Münster (BE),,,,
Münchenwiler,,Villars-les-Moines,,,
Muntelier,,Montilier,,,
Murten,,Morat,,,
Neuchâtel,Neuenburg,,,,
Pieterlen,,Perles,,,
Plaffeien,,Planfayon,,,
Porrentruy,Pruntrut,,,,
Raron,,Rarogne,,,
Rechthalten,,Dirlaret,,,
Saanen,,Gessenay,,,
Saint-Imier,St. Immer,,,,
Salgesch,,Salquenen,,,
Schaffhausen,,Schaffhouse,Sciaffusa,Schaffusa,
Schelten,,La Scheulte,,,
Schwyz,,,Svitto,Sviz,
Sierre,Siders,,,,
Simplon,,,Sempione,,
Sion,Sitten,,,,
Solothurn,,Soleure,Soletta,Soloturn,
St. Gallen,,Saint-Gall,San Gallo,Son Gagl,
St. Niklaus,,Saint-Nicolas,,,
St. Silvester,,Saint-Silvestre,,,
St. Stephan,,Saint-Etienne,,,
St. Ursen,,Saint-Ours,,,
Tafers,,Tavel,,,
Tentlingen,,Tinterin,,,
Thun,,Thoune,,,
Twann-Tüscherz,,Douanne-Daucher,,,
Ulmiz,,Ormey,,,
Varen,,Varone,,,
Visp,,Viège,,,
Winterthur,,Winterthour,,,
Zofingen,,Zofingue,,,
Zug,,Zoug,Zugo,,
Zürich,,Zurich,Zurigo,Turitg,Zurich
